Algorithm: Bellman-Ford
Source: 4
Vertices Distances
0 42
1 37
2 32
3 30
4 0
5 31
6 45
7 47
8 40
9 27
10 INF
11 46
12 37
13 26
14 50
15 INF
16 45
17 47
18 36
19 46
20 11
21 33
22 51
23 35
24 INF
25 15
26 48
27 26
28 36
29 47
30 45
31 38
32 27
33 33
34 44
35 20
36 53
37 37
38 39
39 30
40 43
41 39
42 42
43 47
44 40
45 42
46 41
47 39
48 39
49 18
50 53
51 35
52 15
53 36
54 35
55 39
56 43
57 39
58 51
59 44
60 46
61 21
62 35
63 38
64 INF
65 42
66 55
67 51
68 56
69 57
70 36
71 44
72 13
73 29
74 55
75 49
76 37
77 22
78 39
79 36
80 28
81 44
82 48
83 51
84 12
85 37
86 33
87 27
88 63
89 34
90 30
91 35
92 36
93 29
94 41
95 61
96 40
97 37
98 INF
99 55
Negative Cycle: None
Time taken: 0.012041 ms
