Algorithm: PageRank
Damping: 0.85
Vertex ranks:
0 0.008881
1 0.006469
2 0.002035
3 0.015791
4 0.012665
5 0.022454
6 0.004780
7 0.009325
8 0.009369
9 0.022386
10 0.003052
11 0.010554
12 0.014988
13 0.022456
14 0.011048
15 0.003719
16 0.009048
17 0.003439
18 0.005494
19 0.010262
20 0.018840
21 0.009168
22 0.005234
23 0.003332
24 0.012543
25 0.009001
26 0.008909
27 0.015114
28 0.006609
29 0.011283
30 0.007344
31 0.012059
32 0.016406
33 0.025072
34 0.007677
35 0.012862
36 0.005065
37 0.002035
38 0.009304
39 0.009893
40 0.013154
41 0.002699
42 0.005300
43 0.009114
44 0.009412
45 0.003484
46 0.004462
47 0.006820
48 0.015463
49 0.004540
50 0.007970
51 0.010326
52 0.003910
53 0.002035
54 0.020454
55 0.005651
56 0.013837
57 0.003963
58 0.013517
59 0.002699
60 0.015002
61 0.002035
62 0.008730
63 0.002804
64 0.011913
65 0.003620
66 0.007915
67 0.012316
68 0.011346
69 0.021676
70 0.024415
71 0.003523
72 0.029014
73 0.007560
74 0.019223
75 0.004584
76 0.020337
77 0.018278
78 0.003616
79 0.003161
80 0.010916
81 0.009949
82 0.013447
83 0.011260
84 0.010927
85 0.019935
86 0.006316
87 0.007560
88 0.002035
89 0.008253
90 0.010492
91 0.010057
92 0.005883
93 0.012922
94 0.025255
95 0.004292
96 0.006519
97 0.007855
98 0.007508
99 0.002775
Sum of ranks: 1.000000
Iterations: 14
Converged: true
Execution time: 0.404 ms
